,angle,direction,average_height,smoothed_height,double_smoothed_height
216,115,0,5.66,5.785555555555557,5.663888888888889
217,116,0,5.6933333333333325,5.72,5.757777777777778
218,117,0,5.833333333333333,5.728888888888888,5.789999999999999
219,118,0,6.29,5.938888888888887,5.862222222222222
220,119,0,6.133333333333333,6.085555555555556,5.902777777777778
221,120,0,6.05,6.157777777777778,5.9433333333333325
222,121,0,5.94,6.041111111111111,5.989999999999999
223,122,0,5.98,5.989999999999999,6.0377777777777775
224,123,0,6.32,6.080000000000001,6.118888888888889
225,124,0,6.886666666666667,6.395555555555556,6.218333333333334
226,125,0,6.666666666666667,6.624444444444445,6.307222222222222
227,126,0,6.6066666666666665,6.72,6.3999999999999995
228,127,0,6.489999999999999,6.587777777777777,6.491666666666667
229,128,0,6.56,6.552222222222222,6.588333333333334
230,129,0,6.95,6.666666666666667,6.6933333333333325
231,130,0,7.0,6.836666666666667,6.7122222222222225
232,131,0,7.39,7.113333333333333,6.832777777777777
233,132,0,7.140000000000001,7.176666666666667,6.921666666666667
234,133,0,6.946666666666666,7.158888888888889,6.997777777777777
235,134,0,6.803333333333334,6.963333333333334,7.038333333333333
236,135,0,7.523333333333333,7.091111111111111,7.133888888888889
237,136,0,7.383333333333333,7.236666666666667,7.197777777777778
238,137,0,7.43,7.445555555555555,7.204444444444444
239,138,0,7.453333333333333,7.422222222222222,7.256666666666667
240,139,0,7.383333333333333,7.422222222222222,7.329444444444444
241,140,0,7.416666666666667,7.417777777777778,7.4316666666666675
242,141,0,7.766666666666667,7.522222222222222,7.472222222222222
243,142,0,8.01,7.731111111111112,7.576666666666667
244,143,0,7.94,7.905555555555555,7.661666666666666
245,144,0,8.13,8.026666666666667,7.774444444444445
246,145,0,8.056666666666667,8.042222222222222,7.886666666666667
247,146,0,8.12,8.102222222222222,8.00388888888889
248,147,0,8.166666666666666,8.114444444444445,8.070555555555556
249,148,0,8.200000000000001,8.162222222222223,8.102222222222222
250,149,0,8.253333333333332,8.206666666666665,8.154444444444445
251,150,0,8.576666666666666,8.343333333333334,8.22888888888889
252,151,0,8.573333333333332,8.467777777777776,8.315
253,152,0,8.08,8.41,8.308333333333332
254,153,0,8.4,8.351111111111111,8.347222222222221
255,154,0,8.786666666666667,8.422222222222222,8.444999999999999
256,155,0,8.643333333333333,8.61,8.51
257,156,0,8.903333333333334,8.777777777777779,8.564444444444446
258,157,0,8.96,8.835555555555556,8.62888888888889
259,158,0,8.746666666666668,8.870000000000003,8.74
